route,route_type,week_of,total_cost,total_tonne_km,cost_per_tonne_km
Delhi-Jaipur,Short,2024-10-14,36357,11748.66,3.0945656781283994
Delhi-Jaipur,Short,2024-10-21,65341,21230.66,3.0776716314989736
Delhi-Jaipur,Short,2024-10-28,52390,17266.420000000002,3.0342132300731706
Delhi-Jaipur,Short,2024-11-04,62819,20890.82,3.0070145642918757
Delhi-Jaipur,Short,2024-11-11,84388,20222.59,4.1729570742422215
Delhi-Jaipur,Short,2024-11-18,36658,8961.6,4.09056418496697
Delhi-Jaipur,Short,2024-11-25,46000,15044.25,3.057646609169616
Delhi-Jaipur,Short,2024-12-02,54006,17735.57,3.045067060150872
Delhi-Jaipur,Short,2024-12-09,79110,24556.989999999998,3.2214860208844818
Delhi-Jaipur,Short,2024-12-16,79152,25725.85,3.0767496506432246
Delhi-Jaipur,Short,2024-12-23,47638,15304.54,3.112671142027137
Delhi-Jaipur,Short,2024-12-30,52127,16196.9,3.2183319030184787
Delhi-Jaipur,Short,2025-01-06,71329,22504.7,3.1695157011646455
Delhi-Jaipur,Short,2025-01-13,56039,18399.45,3.04568886569979
Delhi-Jaipur,Short,2025-01-20,55494,18119.65,3.062641938448038
Delhi-Jaipur,Short,2025-01-27,44743,14231.52,3.1439368387916398
Delhi-Jaipur,Short,2025-02-03,45718,15162.14,3.0152735695620803
Delhi-Jaipur,Short,2025-02-10,44004,14720.18,2.989365619170418
Delhi-Jaipur,Short,2025-02-17,57719,18637.89,3.0968634325022846
Delhi-Jaipur,Short,2025-02-24,54432,17657.45,3.0826648241960193
Delhi-Jaipur,Short,2025-03-03,47867,14871.920000000002,3.2186160226789813
Delhi-Jaipur,Short,2025-03-10,49600,15582.89,3.1829782537128866
Delhi-Jaipur,Short,2025-03-17,52228,16965.32,3.0785154656676093
Delhi-Jaipur,Short,2025-03-24,38731,12337.68,3.139244979607187
Delhi-Jaipur,Short,2025-03-31,68375,22376.88,3.055609182334624
Delhi-Jaipur,Short,2025-04-07,63722,19987.05,3.1881643364078243
Delhi-Jaipur,Short,2025-04-14,52680,17587.5,2.9953091684434967
Delhi-Jaipur,Short,2025-04-21,43707,14226.640000000001,3.072194137196133
Delhi-Jaipur,Short,2025-04-28,38818,12795.27,3.0337773255273235
Delhi-Jaipur,Short,2025-05-05,41361,12443.94,3.323786517774917
Delhi-Jaipur,Short,2025-05-12,31412,9862.83,3.1848870962999465
Delhi-Jaipur,Short,2025-05-19,71144,21405.82,3.3235820912256573
Delhi-Jaipur,Short,2025-05-26,57402,17501.15,3.279898749510746
Delhi-Jaipur,Short,2025-06-02,51376,16345.119999999999,3.143201151169279
Delhi-Jaipur,Short,2025-06-09,46732,14261.44,3.276807952072161
Delhi-Jaipur,Short,2025-06-16,80417,24423.699999999997,3.2925805672359227
Delhi-Jaipur,Short,2025-06-23,45069,14442.09,3.1206702077053943
Delhi-Jaipur,Short,2025-06-30,65746,19710.359999999997,3.3356062497082757
Delhi-Jaipur,Short,2025-07-07,70596,21864.48,3.228798489605058
Delhi-Jaipur,Short,2025-07-14,70472,20773.49,3.392400602883771
Delhi-Jaipur,Short,2025-07-21,69601,21710.65,3.2058459788168476
Delhi-Jaipur,Short,2025-07-28,46539,13949.04,3.3363586311316045
Delhi-Jaipur,Short,2025-08-04,43595,13066.009999999998,3.336519717955214
Delhi-Jaipur,Short,2025-08-11,58346,17304.440000000002,3.3717358088444347
Delhi-Jaipur,Short,2025-08-18,60766,18537.58,3.2779898994367116
Delhi-Jaipur,Short,2025-08-25,66759,20665.78,3.230412788677708
Delhi-Jaipur,Short,2025-09-01,43937,12729.18,3.4516755988995365
Delhi-Jaipur,Short,2025-09-08,76150,23437.72,3.2490361690471596
Delhi-Jaipur,Short,2025-09-15,41073,12755.34,3.220063126502312
Delhi-Jaipur,Short,2025-09-22,73158,22767.519999999997,3.213261699122259
Delhi-Jaipur,Short,2025-09-29,73783,21475.16,3.4357369165119143
Delhi-Jaipur,Short,2025-10-06,70592,22007.36,3.2076541666060807
Delhi-Jaipur,Short,2025-10-13,47569,14397.190000000002,3.3040475259408253
Delhi-Jaipur,Short,2025-10-20,54177,16514.18,3.2806351874570825
Delhi-Jaipur,Short,2025-10-27,43058,13558.18,3.1757949813323028
Delhi-Jaipur,Short,2025-11-03,71281,21060.510000000002,3.3845809052107474
Delhi-Jaipur,Short,2025-11-10,72379,22148.92,3.2678342781499055
Delhi-Jaipur,Short,2025-11-17,54268,16524.63,3.2840674798770078
Delhi-Jaipur,Short,2025-11-24,61885,18320.27,3.3779523991731564
Delhi-Jaipur,Short,2025-12-01,31075,9719.25,3.197263163309926
Delhi-Jaipur,Short,2025-12-08,43378,13585.56,3.1929489840683787
Delhi-Jaipur,Short,2025-12-15,77076,23800.870000000003,3.2383690176031377
Delhi-Jaipur,Short,2025-12-22,57107,17686.07,3.2289253632943895
Kolkata-Bhubaneswar,Medium,2024-01-01,83325,33230.1,2.507515776359385
Kolkata-Bhubaneswar,Medium,2024-01-08,82441,31379.37,2.6272356647058244
Kolkata-Bhubaneswar,Medium,2024-01-15,63906,25489.239999999998,2.507175576831636
Kolkata-Bhubaneswar,Medium,2024-01-22,88184,34251.5,2.5746025721501247
Kolkata-Bhubaneswar,Medium,2024-01-29,45729,17421.96,2.6247907812898204
Kolkata-Bhubaneswar,Medium,2024-02-05,50031,18779.239999999998,2.664165322984317
Kolkata-Bhubaneswar,Medium,2024-02-12,85987,31825.23,2.701850073039535
Kolkata-Bhubaneswar,Medium,2024-02-19,59765,22198.9,2.692250516917505
Kolkata-Bhubaneswar,Medium,2024-02-26,47771,18034.9,2.6488086986897623
Kolkata-Bhubaneswar,Medium,2024-03-04,56204,22396.21,2.5095317466660654
Kolkata-Bhubaneswar,Medium,2024-03-11,86030,32225.690000000002,2.6696092465359156
Kolkata-Bhubaneswar,Medium,2024-03-18,47040,17490.829999999998,2.6894092504472344
Kolkata-Bhubaneswar,Medium,2024-03-25,104210,38980.75,2.673370830474016
Kolkata-Bhubaneswar,Medium,2024-04-01,94998,37732.69,2.517657765719857
Kolkata-Bhubaneswar,Medium,2024-04-08,86889,34086.05,2.549107332765163
Kolkata-Bhubaneswar,Medium,2024-04-15,82745,31612.28,2.617495479604761
Kolkata-Bhubaneswar,Medium,2024-04-22,63909,25186.14,2.5374670354409212
Kolkata-Bhubaneswar,Medium,2024-04-29,60820,23952.33,2.5392101728725347
Kolkata-Bhubaneswar,Medium,2024-05-06,58223,21910.2,2.6573468065102097
Kolkata-Bhubaneswar,Medium,2024-05-13,70756,27744.21,2.550297881972491
Kolkata-Bhubaneswar,Medium,2024-05-20,85527,31344.12,2.7286457555675514
Kolkata-Bhubaneswar,Medium,2024-05-27,51560,19848.87,2.597628983413162
Kolkata-Bhubaneswar,Medium,2024-06-03,97336,37493.31999999999,2.596089116674651
Kolkata-Bhubaneswar,Medium,2024-06-10,76854,31002.019999999997,2.478999755499803
Kolkata-Bhubaneswar,Medium,2024-06-17,69532,26933.99,2.581570721604931
Kolkata-Bhubaneswar,Medium,2024-06-24,72577,26870.010000000002,2.7010410491101418
Kolkata-Bhubaneswar,Medium,2024-07-01,68986,27222.64,2.534140700534555
Kolkata-Bhubaneswar,Medium,2024-07-08,93341,35522.990000000005,2.627622280669504
Kolkata-Bhubaneswar,Medium,2024-07-15,55329,20626.97,2.682361975607663
Kolkata-Bhubaneswar,Medium,2024-07-22,76594,28887.2,2.6514857791686284
Kolkata-Bhubaneswar,Medium,2024-07-29,59227,22910.08,2.5851939408330304
Kolkata-Bhubaneswar,Medium,2024-08-05,84271,31404.06,2.683442841466995
Kolkata-Bhubaneswar,Medium,2024-08-12,64818,25327.59,2.5591854574398907
Kolkata-Bhubaneswar,Medium,2024-08-19,93170,35400.67,2.6318710917053267
Kolkata-Bhubaneswar,Medium,2024-08-26,80823,32103.260000000002,2.517594786323881
Kolkata-Bhubaneswar,Medium,2024-09-02,92183,36192.13,2.547045448831003
Kolkata-Bhubaneswar,Medium,2024-09-09,87602,33983.57,2.57777508366543
Kolkata-Bhubaneswar,Medium,2024-09-16,75317,27954.26,2.694294179134057
Kolkata-Bhubaneswar,Medium,2024-09-23,91003,33480.4,2.718097752715021
Kolkata-Bhubaneswar,Medium,2024-09-30,47311,17519.72,2.700442701139059
Kolkata-Bhubaneswar,Medium,2024-10-07,96696,35805.24,2.700610301732372
Kolkata-Bhubaneswar,Medium,2024-10-14,91384,34861.26,2.6213625095593214
Kolkata-Bhubaneswar,Medium,2024-10-21,63216,23647.63,2.673248862571006
Kolkata-Bhubaneswar,Medium,2024-10-28,63004,24928.21,2.5274177327613976
Kolkata-Bhubaneswar,Medium,2024-11-04,69520,27139.9,2.561542231179923
Kolkata-Bhubaneswar,Medium,2024-11-11,70773,27155.69,2.6061941346362403
Kolkata-Bhubaneswar,Medium,2024-11-18,45831,17996.72,2.5466307193755306
Kolkata-Bhubaneswar,Medium,2024-11-25,57386,21528.09,2.6656335977785304
Kolkata-Bhubaneswar,Medium,2024-12-02,80524,31413.51,2.563355702689703
Kolkata-Bhubaneswar,Medium,2024-12-09,81148,32369.010000000002,2.5069657675659527
Kolkata-Bhubaneswar,Medium,2024-12-16,65813,25453.02,2.5856656695354814
Kolkata-Bhubaneswar,Medium,2024-12-23,96967,35929.549999999996,2.6988091974433304
Kolkata-Bhubaneswar,Medium,2024-12-30,47512,18088.730000000003,2.6266078381401012
Kolkata-Bhubaneswar,Medium,2025-01-06,65122,25921.84,2.5122445011619545
Kolkata-Bhubaneswar,Medium,2025-01-13,101777,38334.5,2.654971370436552
Kolkata-Bhubaneswar,Medium,2025-01-20,58268,22630.6,2.574743930783983
Kolkata-Bhubaneswar,Medium,2025-01-27,83406,32426.0,2.572195152038488
Kolkata-Bhubaneswar,Medium,2025-02-03,90566,35618.38,2.5426760004245
Kolkata-Bhubaneswar,Medium,2025-02-10,103305,39205.38,2.634969996464771
Kolkata-Bhubaneswar,Medium,2025-02-17,73837,27908.54,2.645677631291354
Kolkata-Bhubaneswar,Medium,2025-02-24,83115,31204.79,2.6635333870216718
Kolkata-Bhubaneswar,Medium,2025-03-03,63612,23761.98,2.677049639802744
Kolkata-Bhubaneswar,Medium,2025-03-10,98032,36304.770000000004,2.7002512342042104
Kolkata-Bhubaneswar,Medium,2025-03-17,58084,22871.5,2.539579826421529
Kolkata-Bhubaneswar,Medium,2025-03-24,108459,41610.16,2.606550900068637
Kolkata-Bhubaneswar,Medium,2025-03-31,82265,31091.78,2.645876176918787
Kolkata-Bhubaneswar,Medium,2025-04-07,56800,22001.67,2.5816222132229054
Kolkata-Bhubaneswar,Medium,2025-04-14,74680,29040.28,2.5716005493059986
Kolkata-Bhubaneswar,Medium,2025-04-21,74681,28766.35,2.5961235957985633
Kolkata-Bhubaneswar,Medium,2025-04-28,88668,34387.89,2.578465849460377
Kolkata-Bhubaneswar,Medium,2025-05-05,57125,20892.02,2.7342975930522755
Kolkata-Bhubaneswar,Medium,2025-05-12,68972,26253.25,2.6271794920628873
Kolkata-Bhubaneswar,Medium,2025-05-19,50729,18343.739999999998,2.7654665842407278
Kolkata-Bhubaneswar,Medium,2025-05-26,56038,19757.97,2.8362225471543887
Kolkata-Bhubaneswar,Medium,2025-06-02,101421,37527.93,2.702547142887977
Kolkata-Bhubaneswar,Medium,2025-06-09,78482,29301.18,2.6784586832339174
Kolkata-Bhubaneswar,Medium,2025-06-16,75436,28193.54,2.6756483932134807
Kolkata-Bhubaneswar,Medium,2025-06-23,54607,20006.18,2.729506582466018
Kolkata-Bhubaneswar,Medium,2025-06-30,86557,31369.15,2.759303328269972
Kolkata-Bhubaneswar,Medium,2025-07-07,75585,26501.82,2.852068273046908
Kolkata-Bhubaneswar,Medium,2025-07-14,78982,29022.17,2.7214367499053314
Kolkata-Bhubaneswar,Medium,2025-07-21,113227,41514.119999999995,2.7274334611934448
Kolkata-Bhubaneswar,Medium,2025-07-28,92694,34101.05,2.7182154215192784
Kolkata-Bhubaneswar,Medium,2025-08-04,88226,32945.96,2.677900416318116
Kolkata-Bhubaneswar,Medium,2025-08-11,74266,26919.73,2.7587943861249724
Kolkata-Bhubaneswar,Medium,2025-08-18,95222,33447.91,2.846874438492569
Kolkata-Bhubaneswar,Medium,2025-08-25,103514,36544.32,2.8325605730247547
Kolkata-Bhubaneswar,Medium,2025-09-01,77294,29215.67,2.645635030789984
Kolkata-Bhubaneswar,Medium,2025-09-08,59793,21716.42,2.753354374247689
Kolkata-Bhubaneswar,Medium,2025-09-15,95578,34238.29,2.7915529659921683
Kolkata-Bhubaneswar,Medium,2025-09-22,95847,35792.83,2.677826816152844
Kolkata-Bhubaneswar,Medium,2025-09-29,89733,31624.85,2.8374205727457995
Kolkata-Bhubaneswar,Medium,2025-10-06,80925,28109.82,2.878887164699027
Kolkata-Bhubaneswar,Medium,2025-10-13,95333,35560.71000000001,2.6808519852387644
Kolkata-Bhubaneswar,Medium,2025-10-20,97216,36191.82,2.6861318386309394
Kolkata-Bhubaneswar,Medium,2025-10-27,94207,34285.68,2.747706914373581
Kolkata-Bhubaneswar,Medium,2025-11-03,105184,37270.74,2.8221602254207996
Kolkata-Bhubaneswar,Medium,2025-11-10,77427,28348.730000000003,2.7312334626630537
Kolkata-Bhubaneswar,Medium,2025-11-17,61910,22499.51,2.751615479626001
Kolkata-Bhubaneswar,Medium,2025-11-24,64921,23835.64,2.72369443404918
Kolkata-Bhubaneswar,Medium,2025-12-01,77689,28616.57,2.7148257111177196
Kolkata-Bhubaneswar,Medium,2025-12-08,61479,21806.57,2.8192879485402793
Kolkata-Bhubaneswar,Medium,2025-12-15,49063,17990.71,2.72712972417431
Kolkata-Bhubaneswar,Medium,2025-12-22,92134,32472.12,2.8373262971435187
Mumbai-Delhi,Long,2024-01-01,167434,81580.32,2.052382241207193
Mumbai-Delhi,Long,2024-01-08,220168,104698.49,2.1028765553352295
Mumbai-Delhi,Long,2024-01-15,177076,86367.3,2.0502667097385237
Mumbai-Delhi,Long,2024-01-22,175807,85005.87,2.068174821338809
Mumbai-Delhi,Long,2024-01-29,163457,81678.91,2.0012142669386748
Mumbai-Delhi,Long,2024-02-05,154533,75031.95,2.0595626263211875
Mumbai-Delhi,Long,2024-02-12,169112,80937.91,2.08940408765188
Mumbai-Delhi,Long,2024-02-19,147821,74501.25,1.9841412056844683
Mumbai-Delhi,Long,2024-02-26,108426,54963.58,1.9726880963721796
Mumbai-Delhi,Long,2024-03-04,167567,84631.7,1.9799555013074297
Mumbai-Delhi,Long,2024-03-11,242107,119735.38,2.02201721830256
Mumbai-Delhi,Long,2024-03-18,180279,87430.87,2.061960495188942
Mumbai-Delhi,Long,2024-03-25,174542,85257.89,2.0472240164517324
Mumbai-Delhi,Long,2024-04-01,118167,59133.17,1.9983200630035562
Mumbai-Delhi,Long,2024-04-08,187559,95311.39000000001,1.967855048593877
Mumbai-Delhi,Long,2024-04-15,254303,122662.52999999998,2.0731921965085838
Mumbai-Delhi,Long,2024-04-22,133083,63397.42,2.099186370675652
Mumbai-Delhi,Long,2024-04-29,170573,80804.63,2.1109310196705313
Mumbai-Delhi,Long,2024-05-06,195391,99471.38,1.9642936490878078
Mumbai-Delhi,Long,2024-05-13,206522,100765.41,2.0495326719754328
Mumbai-Delhi,Long,2024-05-20,159961,75431.8,2.1206043074671426
Mumbai-Delhi,Long,2024-05-27,159688,75724.66,2.1087978473591034
Mumbai-Delhi,Long,2024-06-03,217072,104010.02,2.0870296919469875
Mumbai-Delhi,Long,2024-06-10,114709,58150.47,1.972623781028769
Mumbai-Delhi,Long,2024-06-17,214065,102129.26,2.096020278615551
Mumbai-Delhi,Long,2024-06-24,270199,129122.12,2.0925849110903694
Mumbai-Delhi,Long,2024-07-01,250303,127177.84000000001,1.9681337566355899
Mumbai-Delhi,Long,2024-07-08,164699,79082.11,2.0826328483142396
Mumbai-Delhi,Long,2024-07-15,229901,113512.38,2.025338557785503
Mumbai-Delhi,Long,2024-07-22,210130,100006.2,2.1011697274768966
Mumbai-Delhi,Long,2024-07-29,227741,110459.29000000001,2.061764112371173
Mumbai-Delhi,Long,2024-08-05,230476,113556.51,2.0296150348403628
Mumbai-Delhi,Long,2024-08-12,198250,99302.68,1.9964214460274388
Mumbai-Delhi,Long,2024-08-19,191602,94035.0,2.0375604827989577
Mumbai-Delhi,Long,2024-08-26,179946,90724.98000000001,1.9834228676600423
Mumbai-Delhi,Long,2024-09-02,197426,99927.29000000001,1.9756965289461965
Mumbai-Delhi,Long,2024-09-09,218722,110146.19,1.9857427660457434
Mumbai-Delhi,Long,2024-09-16,194466,94618.1,2.0552727226608862
Mumbai-Delhi,Long,2024-09-23,129357,63432.450000000004,2.0392874624896247
Mumbai-Delhi,Long,2024-09-30,196820,95448.18000000001,2.062061319555805
Mumbai-Delhi,Long,2024-10-07,249248,116964.73,2.130967172753701
Mumbai-Delhi,Long,2024-10-14,118645,58179.399999999994,2.039295695727354
Mumbai-Delhi,Long,2024-10-21,196382,99530.93,1.9730751033874596
Mumbai-Delhi,Long,2024-10-28,146031,72886.9,2.0035287548242553
Mumbai-Delhi,Long,2024-11-04,198259,98239.2,2.018125147598922
Mumbai-Delhi,Long,2024-11-11,162243,77250.82999999999,2.100210444340857
Mumbai-Delhi,Long,2024-11-18,219243,106336.41,2.0617867388978053
Mumbai-Delhi,Long,2024-11-25,169283,86774.95999999999,1.9508277503095366
Mumbai-Delhi,Long,2024-12-02,210955,102476.02,2.058579168082445
Mumbai-Delhi,Long,2024-12-09,138680,69259.47,2.0023254581647825
Mumbai-Delhi,Long,2024-12-16,162290,81143.53,2.0000362320939207
Mumbai-Delhi,Long,2024-12-23,232593,113588.98999999999,2.047672049905541
Mumbai-Delhi,Long,2024-12-30,202839,101885.23,1.9908577523945326
Mumbai-Delhi,Long,2025-01-06,257712,123873.26000000001,2.0804490008578123
Mumbai-Delhi,Long,2025-01-13,175083,86382.65000000001,2.0268306193431203
Mumbai-Delhi,Long,2025-01-20,128667,61642.72,2.0873024422024207
Mumbai-Delhi,Long,2025-01-27,220864,111417.39,1.98231173787144
Mumbai-Delhi,Long,2025-02-03,174960,85910.49,2.03653826209116
Mumbai-Delhi,Long,2025-02-10,127862,63733.22,2.006206496392305
Mumbai-Delhi,Long,2025-02-17,210037,105902.55,1.983304462451565
Mumbai-Delhi,Long,2025-02-24,155785,75810.92,2.0549150439013273
Mumbai-Delhi,Long,2025-03-03,218659,108111.11,2.022539589131959
Mumbai-Delhi,Long,2025-03-10,182887,89068.65,2.0533262825921357
Mumbai-Delhi,Long,2025-03-17,207645,101191.55,2.0519994011357667
Mumbai-Delhi,Long,2025-03-24,143807,69924.7,2.0565980261624293
Mumbai-Delhi,Long,2025-03-31,113169,55712.95,2.031287160346024
Mumbai-Delhi,Long,2025-04-07,153891,75788.26999999999,2.0305384988996322
Mumbai-Delhi,Long,2025-04-14,245201,123135.34,1.9913129731886883
Mumbai-Delhi,Long,2025-04-21,138859,69297.98,2.0037957816375025
Mumbai-Delhi,Long,2025-04-28,174901,88074.26,1.9858355891948454
Mumbai-Delhi,Long,2025-05-05,171409,78890.03,2.1727587123493297
Mumbai-Delhi,Long,2025-05-12,170002,74638.2,2.277680865830098
Mumbai-Delhi,Long,2025-05-19,144850,68335.65,2.1196842350954443
Mumbai-Delhi,Long,2025-05-26,252641,115492.45,2.1875109585085433
Mumbai-Delhi,Long,2025-06-02,174801,77438.58,2.257285709526182
Mumbai-Delhi,Long,2025-06-09,197528,89379.0,2.210004587207286
Mumbai-Delhi,Long,2025-06-16,251250,111679.35,2.2497444693222155
Mumbai-Delhi,Long,2025-06-23,212669,95624.1,2.2240104743469478
Mumbai-Delhi,Long,2025-06-30,262986,123183.98000000001,2.1349042302416272
Mumbai-Delhi,Long,2025-07-07,128220,60581.95,2.116471985467619
Mumbai-Delhi,Long,2025-07-14,299558,141505.11,2.1169412185892087
Mumbai-Delhi,Long,2025-07-21,148023,67110.52,2.205660155814617
Mumbai-Delhi,Long,2025-07-28,145389,65171.76,2.2308588873462982
Mumbai-Delhi,Long,2025-08-04,190828,90447.35,2.1098241131442768
Mumbai-Delhi,Long,2025-08-11,148897,68881.25,2.1616477633608566
Mumbai-Delhi,Long,2025-08-18,170150,76504.45999999999,2.2240533427724345
Mumbai-Delhi,Long,2025-08-25,111280,52940.07,2.101999487344841
Mumbai-Delhi,Long,2025-09-01,258328,118893.48,2.1727684310359154
Mumbai-Delhi,Long,2025-09-08,111791,53338.630000000005,2.0958731036023983
Mumbai-Delhi,Long,2025-09-15,140366,64515.44,2.175696236435805
Mumbai-Delhi,Long,2025-09-22,115338,52008.880000000005,2.2176597534882503
Mumbai-Delhi,Long,2025-09-29,269776,123497.62,2.184463149978113
Mumbai-Delhi,Long,2025-10-06,195565,86308.54,2.2658823796579113
Mumbai-Delhi,Long,2025-10-13,182528,85172.72,2.1430335910371303
Mumbai-Delhi,Long,2025-10-20,181057,85803.81,2.1101277437447123
Mumbai-Delhi,Long,2025-10-27,186492,87985.25,2.1195825436649893
Mumbai-Delhi,Long,2025-11-03,132280,62079.33,2.1308219660231513
Mumbai-Delhi,Long,2025-11-10,155922,73720.95,2.115029716790139
Mumbai-Delhi,Long,2025-11-17,275672,130766.23000000001,2.1081283753458364
Mumbai-Delhi,Long,2025-11-24,195075,87157.65,2.2381856325864686
Mumbai-Delhi,Long,2025-12-01,268896,125057.57999999999,2.1501775422169533
Mumbai-Delhi,Long,2025-12-08,217468,100419.48,2.165595758910522
Mumbai-Delhi,Long,2025-12-15,131274,61230.03,2.14394799414601
Mumbai-Delhi,Long,2025-12-22,244332,110265.43,2.215853146357839
Mumbai-Pune,Short,2024-01-01,34849,10556.220000000001,3.3012764038642617
Mumbai-Pune,Short,2024-01-08,19157,5664.5,3.3819401535881366
Mumbai-Pune,Short,2024-01-15,26887,7881.2300000000005,3.411523328211459
Mumbai-Pune,Short,2024-01-22,27538,8150.01,3.378891559642258
Mumbai-Pune,Short,2024-01-29,35824,10924.09,3.279357822939943
Mumbai-Pune,Short,2024-02-05,29429,8943.580000000002,3.2905167729253826
Mumbai-Pune,Short,2024-02-12,39068,11907.57,3.280938092322783
Mumbai-Pune,Short,2024-02-19,46401,13727.060000000001,3.380257680814391
Mumbai-Pune,Short,2024-02-26,15465,4758.57,3.249925923123964
Mumbai-Pune,Short,2024-03-04,26244,7696.45,3.40988377758577
Mumbai-Pune,Short,2024-03-11,23401,7003.99,3.3410955755219525
Mumbai-Pune,Short,2024-03-18,25846,7569.33,3.4145690569706963
Mumbai-Pune,Short,2024-03-25,31642,8954.82,3.5335160282395406
Mumbai-Pune,Short,2024-04-01,35782,10748.7,3.3289607115279054
Mumbai-Pune,Short,2024-04-08,32045,9174.75,3.4927382217499114
Mumbai-Pune,Short,2024-04-15,20513,5745.26,3.5704215300961137
Mumbai-Pune,Short,2024-04-22,27038,8130.51,3.325498646456372
Mumbai-Pune,Short,2024-04-29,41594,11830.380000000001,3.515863395765816
Mumbai-Pune,Short,2024-05-06,22435,6402.64,3.5040233403720964
Mumbai-Pune,Short,2024-05-13,26011,7876.900000000001,3.302187408752174
Mumbai-Pune,Short,2024-05-20,24154,7225.57,3.342850460240507
Mumbai-Pune,Short,2024-05-27,37864,10992.779999999999,3.4444426250684543
Mumbai-Pune,Short,2024-06-03,25490,7542.09,3.3796997914371216
Mumbai-Pune,Short,2024-06-10,37371,10575.95,3.5335832714791575
Mumbai-Pune,Short,2024-06-17,30914,9279.66,3.3313720545795857
Mumbai-Pune,Short,2024-06-24,38345,11446.28,3.3499966801441166
Mumbai-Pune,Short,2024-07-01,39325,11679.88,3.366901029805101
Mumbai-Pune,Short,2024-07-08,30111,8492.029999999999,3.545795292762744
Mumbai-Pune,Short,2024-07-15,26754,7767.98,3.4441386306349915
Mumbai-Pune,Short,2024-07-22,33387,9496.18,3.5158347883043497
Mumbai-Pune,Short,2024-07-29,39314,11597.16,3.3899678886899896
Mumbai-Pune,Short,2024-08-05,22177,6579.64,3.3705491485856367
Mumbai-Pune,Short,2024-08-12,21044,6290.8,3.345202517962739
Mumbai-Pune,Short,2024-08-19,34387,10049.52,3.4217554669277734
Mumbai-Pune,Short,2024-08-26,47994,14151.04,3.391552846999231
Mumbai-Pune,Short,2024-09-02,39728,12084.15,3.2876122855144962
Mumbai-Pune,Short,2024-09-09,44259,13513.98,3.275052945172333
Mumbai-Pune,Short,2024-09-16,40888,11921.359999999999,3.4298100216753795
Mumbai-Pune,Short,2024-09-23,30114,8683.82,3.4678286744773614
Mumbai-Pune,Short,2024-09-30,27058,7906.47,3.422260503106949
Mumbai-Pune,Short,2024-10-07,37970,10808.07,3.513115662648373
Mumbai-Pune,Short,2024-10-14,26157,7797.6,3.3544936903662665
Mumbai-Pune,Short,2024-10-21,35932,10766.08,3.3375193199381763
Mumbai-Pune,Short,2024-10-28,45846,13128.82,3.492012229583466
Mumbai-Pune,Short,2024-11-04,44076,12877.26,3.422777826960083
Mumbai-Pune,Short,2024-11-11,39475,11449.51,3.4477457987285045
Mumbai-Pune,Short,2024-11-18,27703,8104.77,3.4181105694547775
Mumbai-Pune,Short,2024-11-25,26516,7726.23,3.4319454636996314
Mumbai-Pune,Short,2024-12-02,25020,7272.21,3.4404947051859063
Mumbai-Pune,Short,2024-12-09,29655,8650.380000000001,3.428173097598024
Mumbai-Pune,Short,2024-12-16,39097,11022.720000000001,3.54694667015038
Mumbai-Pune,Short,2024-12-23,19865,5664.6900000000005,3.506811493656316
Mumbai-Pune,Short,2024-12-30,44440,13058.9,3.4030431353329913
Mumbai-Pune,Short,2025-01-06,44306,12666.080000000002,3.498004118085469
Mumbai-Pune,Short,2025-01-13,19403,5499.33,3.52824798657291
Mumbai-Pune,Short,2025-01-20,35692,10185.580000000002,3.5041696201885406
Mumbai-Pune,Short,2025-01-27,23970,7078.620000000001,3.3862532527526548
Mumbai-Pune,Short,2025-02-03,25075,7524.6900000000005,3.3323631936996736
Mumbai-Pune,Short,2025-02-10,35911,10600.27,3.387743897089414
Mumbai-Pune,Short,2025-02-17,25517,7486.26,3.4085110589266203
Mumbai-Pune,Short,2025-02-24,38846,11390.449999999999,3.4104008182293066
Mumbai-Pune,Short,2025-03-03,32151,9185.84,3.500060963395835
Mumbai-Pune,Short,2025-03-10,44175,12566.73,3.515234273355121
Mumbai-Pune,Short,2025-03-17,23471,6922.8,3.3903911712024035
Mumbai-Pune,Short,2025-03-24,26460,7906.070000000001,3.346795563408874
Mumbai-Pune,Short,2025-03-31,21658,6700.619999999999,3.232238210792435
Mumbai-Pune,Short,2025-04-07,35201,9982.65,3.526217988209544
Mumbai-Pune,Short,2025-04-14,41400,12178.79,3.3993524808293762
Mumbai-Pune,Short,2025-04-21,27382,8313.1,3.293837437297759
Mumbai-Pune,Short,2025-04-28,39430,11546.86,3.4147811612854055
Mumbai-Pune,Short,2025-05-05,32029,8860.5,3.6148072907849444
Mumbai-Pune,Short,2025-05-12,39132,10889.96,3.59340162865612
Mumbai-Pune,Short,2025-05-19,35349,10176.02,3.473754965104235
Mumbai-Pune,Short,2025-05-26,24399,7016.0,3.4776225769669327
Mumbai-Pune,Short,2025-06-02,45810,12827.46,3.5712448138602655
Mumbai-Pune,Short,2025-06-09,41097,11828.23,3.4744843480385486
Mumbai-Pune,Short,2025-06-16,28364,7625.69,3.7195322652769782
Mumbai-Pune,Short,2025-06-23,26293,6988.68,3.762226915526251
Mumbai-Pune,Short,2025-06-30,36279,10235.9,3.544290194316084
Mumbai-Pune,Short,2025-07-07,45027,12370.34,3.6399161219497604
Mumbai-Pune,Short,2025-07-14,41384,11522.220000000001,3.591668966570678
Mumbai-Pune,Short,2025-07-21,40014,11343.009999999998,3.5276350809882038
Mumbai-Pune,Short,2025-07-28,37406,10496.87,3.563538464323174
